^2606/*2606$ ^./.<sent>$
^1858/*1858$ ^-/-<guio>$
^1582/*1582$ ^,/,<cm>$
 ^838/*838$ ^!/!<sent>$
 ^738/*738$ ^:/:<sent>$
 ^733/*733$ ^ым/ым<part>$
 ^241/*241$ ^?/?<sent>$
 ^181/*181$ ¶¶
 ^162/*162$ ^ивнин/ивык<v><tv><neut><aor><a_sg3><o_sg3>$
 ^138/*138$ ^ԓыгэн/ԓыгэн<part>$
 ^136/*136$ ^ынкъам/ынкъам<cnjcoo>$
 ^135/*135$ ^вай/вай<part>$
 ^115/*115$ ^Ԓыгэн/ԓыгэн<part>$
 ^114/*114$ ^Вынэ/вынэ<ij>$
 ^110/*110$ ^ынӄэн/ынӄэн<prn><dem><sg><abs>$
 ^101/*101$ 
  ^99/*99$ ^Ӄынвэр/ӄынвэр<adv>$
  ^89/*89$ ^ынкы/ынкы<adv>$
  ^74/*74$ ^ытръэч/ытръэч<adv>/ытръэч<part>$
  ^73/*73$ ^«/«<lquot>$
  ^72/*72$ ^Ытръэч/ытръэч<adv>/ытръэч<part>$
  ^70/*70$ ^»/»<rquot>$
  ^68/*68$ ^ӈэвысӄэт/ӈэвысӄэт<n><sg><abs>$
  ^67/*67$ ^вынэ/вынэ<ij>$
  ^67/*67$ ^Аʼмын/аʼмын<ij>$
  ^65/*65$ ^нэмэ/нэмэ<adv>$
  ^64/*64$ ^эвыр/эвыр<cnjcoo>$
  ^64/*64$ ^Нэмэ/нэмэ<adv>$
  ^61/*61$ ^Коԓё/коԓё<adv>/коԓё<ij>$
  ^59/*59$ ^эвын/ивык<v><iv><ger><sg><abs>/ивык<v><tv><ger><sg><abs>/эвык<v><iv><ger><sg><abs>/эвык<v><tv><ger><sg><abs>/эвык<v><tv><neut><aor><a_sg2><o_sg3>/эвын<adv>/эвын<part>/ёк<v><tv><th><neut><aor><a_sg2><o_sg3>$
  ^57/*57$ ^ымыԓьо/ымыԓьо<prn><quant><sg>$
  ^56/*56$ ^ивнинэт/ивык<v><tv><neut><aor><a_sg3><o_pl3>$
  ^55/*55$ ^ӈан/ӈан<part>$
  ^55/*55$ ^ӄоԓ/ӄоԓ<prn><quant><sg><abs>$
  ^55/*55$ ^чама/чама<cnjcoo>$
  ^53/*53$ ^Наӄам/наӄам<cnjadv>/наӄам<cnjcoo>$
  ^52/*52$ ^коԓё/коԓё<adv>/коԓё<ij>$
  ^51/*51$ ^Эвын/ивык<v><iv><ger><sg><abs>/ивык<v><tv><ger><sg><abs>/эвык<v><iv><ger><sg><abs>/эвык<v><tv><ger><sg><abs>/эвык<v><tv><neut><aor><a_sg2><o_sg3>/эвын<adv>/эвын<part>/ёк<v><tv><th><neut><aor><a_sg2><o_sg3>$
  ^49/*49$ ^ытԓён/ытԓён<part>/ытԓён<prn><pers><p3><sg><abs>$
  ^49/*49$ ^ынӈин/ынӈин<part>$
  ^48/*48$ ^ӈэвъэн/ӈэвъэн<n><sg><abs>$
  ^46/*46$ ^ытԓыгын/ытԓыгын<n><px3sg><abs>/ытԓыгын<n><sg><abs>$
  ^44/*44$ ^Ӄоԓ/ӄоԓ<prn><quant><sg><abs>$
  ^44/*44$ ^Энмэч/энмэч<adv>$
  ^44/*44$ ^Аны/аны<ij>$
  ^43/*43$ ^наӄам/наӄам<cnjadv>/наӄам<cnjcoo>$
  ^43/*43$ ^аны/аны<ij>$
  ^42/*42$ ^Ԓюур/ԓюур<adv>$
  ^41/*41$ ^эквэтгъи/эквэтык<v><iv><neut><aor><s_sg2>/эквэтык<v><iv><neut><aor><s_sg3>$
  ^40/*40$ ^ӈэԓвыԓ/ӈэԓвыԓ<n><sg><abs>$
  ^39/*39$ ^ԓьунин/ԓьук<v><tv><neut><aor><a_sg3><o_sg3>$
  ^38/*38$ ^ымы/ымы<adv>/ымы<cnjadv>$
  ^38/*38$ ^Эвыр/эвыр<cnjcoo>$
  ^37/*37$ ^ӄонпыӈ/ӄонпыӈкэн<adj><3sg>/ӄонпы<adv>$
  ^36/*36$ ^ӄынвэр/ӄынвэр<adv>$
  ^36/*36$ ^ярак/яракэн<v><iv><gna_ant>/яракэн<v><iv><inf>/яраӈы<n><loc>$
  ^34/*34$ ^Ӄэԓюӄ/ӄэԓюӄ<cnjadv>$
  ^34/*34$ ^гыт/гыт<prn><pers><p2><sg><abs>$
  ^34/*34$ ^Ии/ии<part>$
  ^33/*33$ ^ынӄо/ынӄо<adv>/ынӄо<cnjcoo>$
  ^33/*33$ ^гым/гым<prn><pers><p1><sg><abs>$
  ^32/*32$ ^нивӄин/ивык<v><iv><stat><hab><s_sg3>/ивык<v><tv><stat><hab><a_pl3><o_sg3>$
  ^31/*31$ ^рай/рай<part>$
  ^31/*31$ ^иквъи/икын<v><iv><th>/икын<v><tv><th>$
  ^30/*30$ ^энмэч/энмэч<adv>$
  ^30/*30$ ^ваԓьын/вак<v><iv><ptcp><act><aa><ess>/вак<v><iv><ptcp><act><px3sg><abs>/вак<v><iv><ptcp><act><sg><abs>$
  ^30/*30$ ^Ытԓён/ытԓён<part>/ытԓён<prn><pers><p3><sg><abs>$
  ^30/*30$ ^Ынӄо/ынӄо<adv>/ынӄо<cnjcoo>$
  ^29/*29$ ^ӄынур/ӄынур<adv>$
  ^29/*29$ ^ынӈэ/ынӈэ<part>$
  ^29/*29$ ^Ивнин/ивык<v><tv><neut><aor><a_sg3><o_sg3>$
  ^28/*28$ ^Ӄытԓыги/рыԓык<v><iv><neut><intn><s_sg2>/ӄытԓыги<adv>/ӄытԓыги<part>$
