  ^28/*28$ ^ымыӈ/*ымыӈ$
  ^27/*27$ ^миӈкыри/*миӈкыри$
  ^24/*24$ ^Въэйиръыԓьын/*Въэйиръыԓьын$
  ^23/*23$ ^Ԓыгэнэвыр/*Ԓыгэнэвыр$
  ^21/*21$ ^татԓыгнэн/*татԓыгнэн$
  ^18/*18$ ^ӈээкык/*ӈээкык$
  ^18/*18$ ^нинивӄин/*нинивӄин$
  ^17/*17$ ^чакыгэт/*чакыгэт$
  ^16/*16$ ^ԓыгэнэвыр/*ԓыгэнэвыр$
  ^16/*16$ ^миӈкри/*миӈкри$
  ^15/*15$ ^ытри/*ытри$
  ^15/*15$ ^Кита/*Кита$
  ^15/*15$ ^Аʼм/*Аʼм$
  ^14/*14$ ^Ӄынвэрэвыр/*Ӄынвэрэвыр$
  ^14/*14$ ^Кэнэӄучи/*Кэнэӄучи$
  ^13/*13$ ^пэнин/*пэнин$
  ^13/*13$ ^игыр/*игыр$
  ^13/*13$ ^а/*а$
  ^13/*13$ ^Ымыӈ/*Ымыӈ$
  ^13/*13$ ^Гик/*Гик$
  ^12/*12$ ^Ӄунԓеԓюнэ/*Ӄунԓеԓюнэ$
  ^12/*12$ ^ынӄъом/*ынӄъом$
  ^12/*12$ ^ынръам/*ынръам$
  ^12/*12$ ^уʼвэӄуч/*уʼвэӄуч$
  ^12/*12$ ^иквъэт/*иквъэт$
  ^12/*12$ ^Китаӄун/*Китаӄун$
  ^11/*11$ ^Ӄунԓеԓю/*Ӄунԓеԓю$
  ^11/*11$ ^ытԓеӈи/*ытԓеӈи$
  ^11/*11$ ^тургин/*тургин$
  ^11/*11$ ^таӈымыԓьо/*таӈымыԓьо$
  ^11/*11$ ^нэнэнэт/*нэнэнэт$
  ^11/*11$ ^Моԓԓынто/*Моԓԓынто$
  ^11/*11$ ^Митъэԓыги/*Митъэԓыги$
  ^11/*11$ ^Иаʼм/*Иаʼм$
  ^10/*10$ ^ԓыгиин/*ԓыгиин$
  ^10/*10$ ^ӈаргын/*ӈаргын$
  ^10/*10$ ^экык/*экык$
  ^10/*10$ ^ытԓьата/*ытԓьата$
  ^10/*10$ ^рэсӄиквъи/*рэсӄиквъи$
  ^10/*10$ ^микынэ/*микынэ$
  ^10/*10$ ^йъэԓгытомгыт/*йъэԓгытомгыт$
  ^10/*10$ ^иаʼм/*иаʼм$
  ^10/*10$ ^Ынӄэнат/*Ынӄэнат$
  ^10/*10$ ^Ынръам/*Ынръам$
  ^10/*10$ ^Оʼмйъаяӄ/*Оʼмйъаяӄ$
  ^10/*10$ ^Ако/*Ако$
  ^10/*10$ ^А/*А$
   ^9/*9$ ^ӄутынэ/*ӄутынэ$
   ^9/*9$ ^этъым/*этъым$
   ^9/*9$ ^чоттагнык/*чоттагнык$
   ^9/*9$ ^рэԓку/*рэԓку$
   ^9/*9$ ^панэнагты/*панэнагты$
   ^9/*9$ ^оʼравэтԓьат/*оʼравэтԓьат$
   ^9/*9$ ^о/*о$
   ^9/*9$ ^нэԓьугъэн/*нэԓьугъэн$
   ^9/*9$ ^м/*м$
   ^9/*9$ ^айыԓго/*айыԓго$
   ^9/*9$ ^Янор/*Янор$
   ^9/*9$ ^Этъым/*Этъым$
   ^9/*9$ ^Эʼчууԓгын/*Эʼчууԓгын$
   ^9/*9$ ^Ынӄъом/*Ынӄъом$
   ^9/*9$ ^Ынпыначгыӄая/*Ынпыначгыӄая$
   ^9/*9$ ^Миӈкыри/*Миӈкыри$
   ^9/*9$ ^Миӈкри/*Миӈкри$
   ^9/*9$ ^Кэнэӄучинэ/*Кэнэӄучинэ$
   ^8/*8$ ^ԓынъё/*ԓынъё$
   ^8/*8$ ^ӈинӄэгти/*ӈинӄэгти$
   ^8/*8$ ^ӄутырык/*ӄутырык$
   ^8/*8$ ^Ӄутынэ/*Ӄутынэ$
   ^8/*8$ ^ярат/*ярат$
   ^8/*8$ ^чеӈэт/*чеӈэт$
   ^8/*8$ ^чакэтта/*чакэтта$
   ^8/*8$ ^тэнӈу/*тэнӈу$
   ^8/*8$ ^нинивӄинэт/*нинивӄинэт$
   ^8/*8$ ^миӈкы/*миӈкы$
   ^8/*8$ ^мачынан/*мачынан$
   ^8/*8$ ^кэԓы/*кэԓы$
   ^8/*8$ ^кымиӈыт/*кымиӈыт$
   ^8/*8$ ^ик/*ик$
   ^8/*8$ ^Эʼчууԓгынэ/*Эʼчууԓгынэ$
   ^8/*8$ ^Ытԓеӈи/*Ытԓеӈи$
   ^8/*8$ ^Ръэйипгэв/*Ръэйипгэв$
   ^8/*8$ ^Намӈыԓёгъан/*Намӈыԓёгъан$
   ^7/*7$ ^Ӄунԓеԓюнти/*Ӄунԓеԓюнти$
   ^7/*7$ ^ыргынан/*ыргынан$
   ^7/*7$ ^ынпыначгыӄая/*ынпыначгыӄая$
   ^7/*7$ ^ыʼтвъэт/*ыʼтвъэт$
   ^7/*7$ ^чывинин/*чывинин$
   ^7/*7$ ^чамъам/*чамъам$
   ^7/*7$ ^пэнрынэн/*пэнрынэн$
   ^7/*7$ ^пыкэрыӈок/*пыкэрыӈок$
   ^7/*7$ ^митъэԓыги/*митъэԓыги$
   ^7/*7$ ^кита/*кита$
   ^7/*7$ ^йытийгот/*йытийгот$
   ^7/*7$ ^гэмо/*гэмо$
   ^7/*7$ ^гымнинэт/*гымнинэт$
   ^7/*7$ ^вусӄымчыку/*вусӄымчыку$
   ^7/*7$ ^Ытԓьата/*Ытԓьата$
   ^7/*7$ ^Уӄӄэмӄэй/*Уӄӄэмӄэй$
   ^7/*7$ ^Укумэк/*Укумэк$
   ^7/*7$ ^Рэсӄиквъи/*Рэсӄиквъи$
   ^7/*7$ ^Гок/*Гок$
   ^6/*6$ ^ԓым/*ԓым$
   ^6/*6$ ^ӈэгны/*ӈэгны$
   ^6/*6$ ^ӈэвынъюԓьыт/*ӈэвынъюԓьыт$
   ^6/*6$ ^ӄэԓьыт/*ӄэԓьыт$
   ^6/*6$ ^ӄиквын/*ӄиквын$
   ^6/*6$ ^Ӄымэԓ/*Ӄымэԓ$
   ^6/*6$ ^Ӄунԓеԓюрык/*Ӄунԓеԓюрык$
   ^6/*6$ ^ынӄэнат/*ынӄэнат$
   ^6/*6$ ^ынкэгйит/*ынкэгйит$
   ^6/*6$ ^рачвыӈкы/*рачвыӈкы$
   ^6/*6$ ^оʼтчой/*оʼтчой$
   ^6/*6$ ^нивынэт/*нивынэт$
   ^6/*6$ ^намӈыԓёгъан/*намӈыԓёгъан$
   ^6/*6$ ^мэӈӄо/*мэӈӄо$
   ^6/*6$ ^мытив/*мытив$
   ^6/*6$ ^мургин/*мургин$
   ^6/*6$ ^мараквыргын/*мараквыргын$
